tweet,toxicity
"#[A l’international] Harcèlement sexuel : prévention et responsabilité de l’employeur au Danemark

🗞 Retrouvez l'article du cabinet Norrbom Vinding sur le site de Ius Laboris 👉 https://t.co/nDzPM6EiBn

#Travail #Harcèlement https://t.co/0iKQfomIaB",1
"@MagaliBerdah ( ""T'es la plus grosse Harceleuse de France "" propos de  #DylanThiry ) #magaliberdah instigatrice de #harcelement #menace #soudoyement  sur les réseaux sociaux ... selon Dylan 😳

#LPNJF #booba @booba 🏴‍☠️ https://t.co/3C5guCVT7e",1
@MaximeHaes En espérant que le procedure avance #haine #homophobie #harcelement ne laissons rien passer la justice doit être saisie https://t.co/q7n6hJvhS3,1
"@MaximeHaes ✊🏻Face à la #haine , au #harcelement et à l’#homophobie nous sommes solidaires et l’avons toujours été. Ces agissements seront punis , ces comptes suspendus de @twitter nous y veillons
#LGBT #LGBTQIA cc @SOShomophobie @DILCRAH @flagasso https://t.co/YbVzfLOEIt",1
"@FredericLefevre Ahhhhhh oui, j'ai hâte !

#RickyCocotier #causette #LFI #FranceInsoumise #harcelement #sexuel #coquerel
#balancetonporcFI
#MeToo

https://t.co/OPFTSaLagd",1
#legislatives2022 : Isabelle Seguin ex #KohLanta candidate #MajoritePresidentielle  dans l'Ain en remplacement d'un candidat #Macron condamné pour #harcelement. On lui conseille un noveau défi : s'inscrire sur #VPM pour gagner une campagne électorale ! https://t.co/pLu6e4QRzf,1
"Tw Harcèlement///

J'ai reçu les messages du mec de mon ex , qui me harcèle par SMS pour me dire qu'il fallait que j'arrête de parler de sa copine alors que je voulais seulement avoir de ses nouvelles et rien de plus.
Je pense porter plainte contre lui
#harcèlement https://t.co/P4Vid1jA9k",1
"@E_DupondM Michel #eparcyl #Laloue, en période de sursis d'une peine de prison de trois ans dont deux ferme (TGI Avignon, 2019), en récidive de menaces de mort, #swatting, #harcelement, #cyberharcelement, depuis un an et demi tous les jours. Reconnu psychotique et dangereux. https://t.co/3lwuLAC9mn",1
"#Michel #eparcyl #Laloue, condamné à 3 ans de prison pour #harcelement, menaces de mort. Actuellement en récidive quotidienne avec la complicité passive de la @PoliceNationale d'Avignon, multi-alertée, et de la @Gendarmerie d'Eguzon, qui a refusé de l'interpeller en flag en 2021. https://t.co/MqbneVJaqa",1
"#Michel #eparcyl #Laloue, condamné à 3 ans de prison pour #harcelement, menaces de mort. Actuellement en récidive quotidienne avec la complicité passive de la @PoliceNationale d'Avignon, multi-alertée, et de la @Gendarmerie d'Eguzon, qui a refusé de l'interpeller en flag en 2021. https://t.co/gT99c9WSci",1
Qu'est ce qu'il a Boulbi encore? La proxénète n'a pas voulu lui filer 2/3 femmes à salir dans son prochain clip? #MagaliBerdah #Booba #harcelement https://t.co/S8wfPUQRAB,1
@TPMP Tpmp #harcèlement sexuel sur un stagiaire,1
"@simonroussel62 @CaroleDelga Et Coquerel, tu connaissais son existence ?
#RickyCocotier #causette #LFI #FranceInsoumise #harcelement #sexuel #coquerel
#balancetonporcFI
#MeToo
#MeTooPolitique https://t.co/v8HemoHwCn",1
"@carolinedehaas @EmmanuelMacron @Elisabeth_Borne Imagine.
Coquerel est toujours député, imagine !
#RickyCocotier
#causette
#MeToo
#balancetonporcFI
#MeTooPolitique
#harcelement #sexuel https://t.co/xbf0uZDrNp",1
"@shakasunlive @Patrick4485 Je vous demande de ne plus me contacter, d’écrire sur mon mur. Cela fait plus de 100 tweets. Vous me harceler à tous les jours et à toutes les heures. Je vous demande d’arrêter et de me laisser tranquille.   @shakasunlive #harcelement #stalker #metoo   #noncestnon #spvm @SPVM",1
"@shakasunlive @Patrick4485 Je vous demande de ne plus me contacter, d’écrire sur mon mur. Cela fait plus de 100 tweets. Vous me harceler à tous les jours et à toutes les heures. Je vous demande d’arrêter et de me laisser tranquille.   @shakasunlive #harcelement #stalker #metoo  #noncestnon #spvm @SPVM",1
"#[A l’international] Harcèlement sexuel : prévention et responsabilité de l’employeur au Danemark

🗞 Retrouvez l'article du cabinet Norrbom Vinding sur le site de Ius Laboris 👉 https://t.co/HhAP1pTF0r

#Travail #Harcèlement https://t.co/fkkL87f06O",1
"@shakasunlive Je vous demande de ne plus me contacter et d’écrire sur mon mur. Cela fait plus de 100 tweets sur mon mur.Vous me harceler à tous les jours et à toutes les heures. Je ne vous connais pas, laissez moi tranquille @shakasunlive #harcelement #stalker #metoo  #cestassez #noncestnon",1
"@shakasunlive @Patrick4485 Je vous demande de ne plus me contacter et d’écrire sur mon mur. Cela fait plus de 100 tweets sur mon mur.Vous me harceler à tous les jours et à toutes les heures. Je ne vous connais pas, laissez moi tranquille @shakasunlive #harcelement #stalker #metoo #cestassez #noncestnon",1
@shakasunlive @Patrick4485 Vous me harcelez depuis des semaines sur mon mur et quand je vous bloque vous réapparaîssez avec un autre compte @shakasunlive  je vous demande d’arrêter de me contacter et d’écrire sur mon mur. #harcelement #metoo #harassment #twitter #intimidation #menace #stop,1
@shakasunlive @Patrick4485 Je ne veux rien avoir à faire avec toi je ne te connais pas Je te demanderai d’arrêter de publier sur mon mur à longueur de journée et de m’insulter. c’est de l’harcèlement et de l’intimidation et cela me fait peur  @shakasunlive #Harcelement #stalker  #metoo #intimidation #spvm,1
"@A__SAMEDI Ils m'ont envoyé un email hier, je l'ai d'ailleurs publié. 
#Harcèlement 
#Mensonges",1
